1:Ellen Pompeo-[['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso con panna', 'small', ''], ['an espresso macchiato', 'medium', 'a doughnut'], ['a flat white', 'large', ''], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an iced hot chocolate', 'large', 'a blueberry oatmeal'], ['an espresso macchiato', 'medium', 'a doughnut']]
63:Melissa McBride-[['a noisette', 'small', 'a double chocolate muffin'], ['a noisette', 'small', 'a double chocolate muffin'], ['a noisette', 'small', 'a double chocolate muffin'], ['a cappuccino', 'medium', 'a pain aux raisins'], ['an Earl Grey', 'large', 'a doughnut'], ['a noisette', 'small', 'a double chocolate muffin'], ['a mocha', 'small', ''], ['a white hot chocolate', 'large', 'a croissant'], ['a noisette', 'small', 'a double chocolate muffin'], ['a noisette', 'small', 'a double chocolate muffin']]
64:Kiefer Sutherland-[['a white hot chocolate', 'small', 'a pain aux raisins'], ['a white hot chocolate', 'small', 'a pain aux raisins'], ['a white hot chocolate', 'small', 'a pain aux raisins'], ['a white hot chocolate', 'small', 'a pain aux raisins'], ['a white hot chocolate', 'small', 'a pain aux raisins'], ['a white hot chocolate', 'small', 'a pain aux raisins'], ['a hot chocolate', 'large', 'a lemon pound cake'], ['an Earl Grey', 'medium', ''], ['a noisette', 'large', 'a blueberry oatmeal'], ['a caramel macchiato', 'medium', '']]
65:Kaley Cuoco-[['an americano', 'large', 'a breakfast tortilla wrap'], ['an americano', 'large', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a plain bagel'], ['an americano', 'large', 'a breakfast tortilla wrap'], ['an espresso', 'small', 'a croissant'], ['an americano', 'large', 'a breakfast tortilla wrap'], ['an americano', 'large', 'a breakfast tortilla wrap'], ['an americano', 'large', 'a breakfast tortilla wrap'], ['an americano', 'large', 'a breakfast tortilla wrap'], ['an americano', 'large', 'a breakfast tortilla wrap']]
66:Michael Emerson-[['a mocha', 'large', 'a gingerbread cookie'], ['a mocha', 'large', 'a gingerbread cookie'], ['a peppermint hot chocolate', 'small', ''], ['a caramel macchiato', 'large', ''], ['an americano', 'medium', 'a blueberry muffin'], ['a mocha', 'large', ''], ['a flat white', 'large', ''], ['a black tea', 'large', 'an everything bagel'], ['a mocha', 'large', ''], ['a mocha', 'large', '']]
67:Emily Deschanel-[['a cappuccino', 'large', ''], ['a cordusio', 'medium', 'a pain au chocolat'], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['an americano', 'small', 'a blueberry muffin'], ['a hot chocolate', 'medium', ''], ['a breakfast tea', 'large', ''], ['a caramel macchiato', 'small', 'a classic oatmeal'], ['a breakfast tea', 'large', '']]
68:Kerry Washington-[['a green tea', 'medium', ''], ['a mocha', 'small', 'a classic oatmeal'], ['a mocha', 'small', 'a classic oatmeal'], ['a green tea', 'medium', 'a chocolate chip muffin'], ['a green tea', 'medium', 'a classic oatmeal'], ['a cordusio', 'medium', 'an everything bagel'], ['a green tea', 'medium', 'a classic oatmeal'], ['a green tea', 'medium', 'a classic oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a green tea', 'medium', 'a classic oatmeal']]
69:Zoe Saldana-[['an espresso con panna', 'small', ''], ['a peppermint hot chocolate', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['a peppermint hot chocolate', 'large', 'an almond croissant']]
70:Cote de Pablo-[['a salted caramel hot chocolate', 'large', 'a blueberry oatmeal'], ['a peppermint hot chocolate', 'medium', 'a chocolate chip cookie'], ['an espresso con panna', 'small', 'a classic oatmeal'], ['an espresso con panna', 'small', 'a classic oatmeal'], ['an espresso con panna', 'small', 'a classic oatmeal'], ['a latte', 'large', ''], ['an espresso con panna', 'small', 'a classic oatmeal'], ['an espresso con panna', 'small', 'a classic oatmeal'], ['an espresso con panna', 'small', 'a classic oatmeal'], ['a caramel macchiato', 'medium', '']]
71:Charlize Theron-[['a green tea', 'medium', 'a pain aux raisins'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['a white hot chocolate', 'large', 'a blueberry muffin'], ['an espresso macchiato', 'large', 'a blueberry oatmeal'], ['a salted caramel hot chocolate', 'large', 'a chocolate chip cookie']]
72:Troian Bellisario-[['a peppermint hot chocolate', 'small', ''], ['a breakfast tea', 'small', 'a plain bagel'], ['a breakfast tea', 'small', 'a plain bagel'], ['a breakfast tea', 'small', 'a plain bagel'], ['a caramel macchiato', 'medium', ''], ['a breakfast tea', 'small', 'a plain bagel'], ['a breakfast tea', 'small', 'a plain bagel'], ['a breakfast tea', 'small', 'a plain bagel'], ['a breakfast tea', 'small', 'a plain bagel'], ['a breakfast tea', 'small', 'a plain bagel']]
73:Paul Reiser-[['a flat white', 'medium', 'a classic oatmeal'], ['a flat white', 'medium', 'a classic oatmeal'], ['a flat white', 'medium', 'a classic oatmeal'], ['a black tea', 'large', ''], ['a flat white', 'medium', 'a classic oatmeal'], ['a flat white', 'medium', 'a classic oatmeal'], ['an espresso macchiato', 'small', 'a double chocolate muffin'], ['a flat white', 'medium', 'a classic oatmeal'], ['a flat white', 'medium', 'a classic oatmeal'], ['a flat white', 'medium', 'a classic oatmeal']]
74:Mark Harmon-[['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an espresso macchiato', 'large', '']]
75:Mayim Bialik-[['a white hot chocolate', 'medium', 'a doughnut'], ['an Earl Grey', 'small', ''], ['an espresso', 'large', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', '']]
76:Leonardo DiCaprio-[['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie'], ['a flat white', 'small', 'a gingerbread cookie']]
77:Jennifer Lawrence-[['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel'], ['an espresso con panna', 'small', ''], ['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel'], ['an iced hot chocolate', 'large', ''], ['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel']]
78:Anna Torv-[['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a flat white', 'medium', 'a blueberry oatmeal'], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', '']]
79:Joshua Jackson-[['an iced hot chocolate', 'medium', 'an almond croissant'], ['a cappuccino', 'medium', ''], ['a peppermint hot chocolate', 'medium', 'a croissant'], ['a peppermint hot chocolate', 'medium', 'a croissant'], ['a black tea', 'large', 'a carrot cake'], ['a peppermint hot chocolate', 'medium', 'a croissant'], ['a peppermint hot chocolate', 'medium', 'a croissant'], ['a peppermint hot chocolate', 'medium', 'a croissant'], ['a peppermint hot chocolate', 'medium', 'a croissant'], ['a peppermint hot chocolate', 'medium', 'a croissant']]
80:Johnny Depp-[['an espresso con panna', 'large', 'a chocolate chip muffin'], ['an espresso con panna', 'large', 'a chocolate chip muffin'], ['an espresso', 'large', 'a veggie tortilla wrap'], ['a mocha', 'small', ''], ['an espresso con panna', 'large', 'a chocolate chip muffin'], ['a hot chocolate', 'medium', 'an almond croissant'], ['an espresso con panna', 'large', 'a chocolate chip muffin'], ['a latte', 'medium', 'a gingerbread cookie'], ['an espresso con panna', 'large', 'a chocolate chip muffin'], ['an espresso con panna', 'large', 'a chocolate chip muffin']]
81:David Boreanaz-[['an americano', 'large', 'a classic oatmeal'], ['an americano', 'large', 'a classic oatmeal'], ['an espresso con panna', 'large', 'a lemon pound cake'], ['an americano', 'large', 'a classic oatmeal'], ['an americano', 'large', 'a classic oatmeal'], ['an americano', 'large', 'a classic oatmeal'], ['an americano', 'large', 'a classic oatmeal'], ['an americano', 'large', 'a classic oatmeal'], ['an americano', 'large', 'a classic oatmeal'], ['a caramel macchiato', 'medium', 'a carrot cake']]
82:Robin Tunney-[['a noisette', 'small', 'a breakfast tortilla wrap'], ['a peppermint hot chocolate', 'small', 'a carrot cake'], ['a peppermint hot chocolate', 'small', 'a carrot cake'], ['an espresso', 'large', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'small', 'a carrot cake'], ['a peppermint hot chocolate', 'small', 'a carrot cake'], ['a white hot chocolate', 'small', 'a doughnut'], ['a peppermint hot chocolate', 'small', 'a carrot cake'], ['a peppermint hot chocolate', 'small', 'a carrot cake'], ['a peppermint hot chocolate', 'small', 'a carrot cake']]
83:Jensen Ackles-[['a green tea', 'medium', 'a chocolate chip cookie'], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a caramel macchiato', 'small', 'a plain bagel'], ['a peppermint hot chocolate', 'large', 'an almond croissant'], ['a noisette', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', '']]
84:Robert Pattinson-[['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['a hot chocolate', 'small', 'a classic oatmeal'], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['a peppermint hot chocolate', 'small', 'a chocolate chip muffin']]
85:Roseanne Barr-[['a latte', 'small', 'a breakfast tortilla wrap'], ['a latte', 'small', 'a breakfast tortilla wrap'], ['an espresso macchiato', 'small', ''], ['a latte', 'small', 'a breakfast tortilla wrap'], ['a black tea', 'large', 'a gingerbread cookie'], ['a latte', 'small', 'a breakfast tortilla wrap'], ['a latte', 'small', 'a breakfast tortilla wrap'], ['a latte', 'small', 'a breakfast tortilla wrap'], ['a cordusio', 'small', 'a chocolate chip muffin'], ['a latte', 'small', 'a breakfast tortilla wrap']]
86:David Schwimmer-[['an Earl Grey', 'large', ''], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['a green tea', 'small', 'a double chocolate muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a veggie tortilla wrap'], ['a green tea', 'small', 'a veggie tortilla wrap'], ['a green tea', 'small', 'a veggie tortilla wrap'], ['a green tea', 'small', 'a veggie tortilla wrap'], ['a white hot chocolate', 'large', '']]
87:Jon Hamm-[['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['a cordusio', 'medium', ''], ['an Earl Grey', 'small', ''], ['a cappuccino', 'large', 'a pain au chocolat'], ['a cappuccino', 'large', ''], ['an americano', 'medium', ''], ['an Earl Grey', 'small', ''], ['a hot chocolate', 'medium', 'a lemon pound cake']]
88:Ed Westwick-[['an espresso', 'large', ''], ['a breakfast tea', 'large', 'a lemon pound cake'], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a green tea', 'large', ''], ['a mocha', 'small', ''], ['a mocha', 'small', '']]
89:Jessica Capshaw-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
90:Jeffrey Donovan-[['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['a latte', 'medium', ''], ['an espresso', 'medium', ''], ['an Earl Grey', 'large', ''], ['a latte', 'medium', ''], ['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['a salted caramel hot chocolate', 'medium', 'a croissant'], ['an espresso', 'medium', '']]
91:Aaron Paul-[['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake'], ['a flat white', 'large', ''], ['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake'], ['a mocha', 'large', 'a carrot cake']]
92:Laura Linney-[['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat'], ['an espresso con panna', 'medium', 'a plain bagel'], ['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat'], ['a flat white', 'medium', 'a pain au chocolat']]
93:Jane Lynch-[['an americano', 'large', 'a blueberry oatmeal'], ['an americano', 'large', 'a blueberry oatmeal'], ['an americano', 'large', 'a blueberry oatmeal'], ['a hot chocolate', 'large', ''], ['an americano', 'large', 'a blueberry oatmeal'], ['an americano', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a lemon pound cake'], ['an americano', 'large', 'a blueberry oatmeal'], ['an americano', 'large', 'a blueberry oatmeal'], ['an americano', 'large', 'a blueberry oatmeal']]
94:Mireille Enos-[['an espresso con panna', 'medium', 'a blueberry oatmeal'], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['a mocha', 'medium', 'a gingerbread cookie'], ['an espresso macchiato', 'large', ''], ['a breakfast tea', 'small', 'a chocolate chip cookie'], ['a latte', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
95:Will Smith-[['an Earl Grey', 'large', 'a plain bagel'], ['an Earl Grey', 'large', 'a plain bagel'], ['an Earl Grey', 'large', 'a plain bagel'], ['an Earl Grey', 'large', 'a plain bagel'], ['an espresso macchiato', 'small', 'a croissant'], ['an Earl Grey', 'large', 'a plain bagel'], ['an Earl Grey', 'large', 'a plain bagel'], ['an Earl Grey', 'large', 'a plain bagel'], ['a white hot chocolate', 'small', ''], ['a flat white', 'small', 'a pain au chocolat']]
96:Justin Chambers-[['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', ''], ['a noisette', 'medium', 'a veggie tortilla wrap'], ['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', '']]
97:Miles Teller-[['an espresso', 'small', 'a gingerbread cookie'], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['a black tea', 'small', 'a veggie tortilla wrap'], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', '']]
98:Chris Colfer-[['an Earl Grey', 'medium', 'a slice of banana bread'], ['an iced hot chocolate', 'small', 'a croissant'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap'], ['a mocha', 'small', 'a veggie tortilla wrap']]
99:Matt Smith-[['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', ''], ['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins'], ['an espresso', 'small', 'a pain aux raisins']]
100:Damian Lewis-[['a caramel macchiato', 'large', ''], ['a mocha', 'medium', ''], ['a flat white', 'medium', 'a doughnut'], ['an americano', 'large', 'a lemon pound cake'], ['a cordusio', 'large', ''], ['a breakfast tea', 'large', 'a chocolate caramel shortbread'], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a cappuccino', 'small', 'an almond croissant'], ['a breakfast tea', 'large', '']]
