1 Could I have an iced cordusio , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get an iced latte macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short iced latte macchiato . Is that right ?|So that would be a short iced latte macchiato . Did I get that right ?|Your order is a short iced latte macchiato . Is that right ?|Your order is a short iced latte macchiato . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a chai tea latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short chai tea latte . Is that right ?|So that would be a short chai tea latte . Did I get that right ?|Your order is a short chai tea latte . Is that right ?|Your order is a short chai tea latte . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A soy latte .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a tall soy latte . Is that right ?|So that would be a tall soy latte . Did I get that right ?|Your order is a tall soy latte . Is that right ?|Your order is a tall soy latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I want a strawberry lemonade .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a short strawberry lemonade . Is that right ?|So that would be a short strawberry lemonade . Did I get that right ?|Your order is a short strawberry lemonade . Is that right ?|Your order is a short strawberry lemonade . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a grande iced salted caramel mocha . Is that right ?|So that would be a grande iced salted caramel mocha . Did I get that right ?|Your order is a grande iced salted caramel mocha . Is that right ?|Your order is a grande iced salted caramel mocha . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced caramel macchiato , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a short iced caramel macchiato . Is that right ?|So that would be a short iced caramel macchiato . Did I get that right ?|Your order is a short iced caramel macchiato . Is that right ?|Your order is a short iced caramel macchiato . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced pumpkin spice latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a tall iced pumpkin spice latte . Is that right ?|So that would be a tall iced pumpkin spice latte . Did I get that right ?|Your order is a tall iced pumpkin spice latte . Is that right ?|Your order is a tall iced pumpkin spice latte . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get a soy latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a tall soy latte . Is that right ?|So that would be a tall soy latte . Did I get that right ?|Your order is a tall soy latte . Is that right ?|Your order is a tall soy latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like a cinnamon latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short cinnamon latte . Is that right ?|So that would be a short cinnamon latte . Did I get that right ?|Your order is a short cinnamon latte . Is that right ?|Your order is a short cinnamon latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a salted caramel mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a short salted caramel mocha . Is that right ?|So that would be a short salted caramel mocha . Did I get that right ?|Your order is a short salted caramel mocha . Is that right ?|Your order is a short salted caramel mocha . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I want a pumpkin spice latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short pumpkin spice latte . Is that right ?|So that would be a short pumpkin spice latte . Did I get that right ?|Your order is a short pumpkin spice latte . Is that right ?|Your order is a short pumpkin spice latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have an orange juice ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall orange juice . Is that right ?|So that would be a tall orange juice . Did I get that right ?|Your order is a tall orange juice . Is that right ?|Your order is a tall orange juice . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a cinnamon latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a tall cinnamon latte . Is that right ?|So that would be a tall cinnamon latte . Did I get that right ?|Your order is a tall cinnamon latte . Is that right ?|Your order is a tall cinnamon latte . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A bottle of water .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a short bottle of water . Is that right ?|So that would be a short bottle of water . Did I get that right ?|Your order is a short bottle of water . Is that right ?|Your order is a short bottle of water . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A strawberry lemonade .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a grande strawberry lemonade . Is that right ?|So that would be a grande strawberry lemonade . Did I get that right ?|Your order is a grande strawberry lemonade . Is that right ?|Your order is a grande strawberry lemonade . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a cinnamon latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall cinnamon latte . Is that right ?|So that would be a tall cinnamon latte . Did I get that right ?|Your order is a tall cinnamon latte . Is that right ?|Your order is a tall cinnamon latte . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get a cinnamon latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a short cinnamon latte . Is that right ?|So that would be a short cinnamon latte . Did I get that right ?|Your order is a short cinnamon latte . Is that right ?|Your order is a short cinnamon latte . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced coffee americano ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a short iced coffee americano . Is that right ?|So that would be a short iced coffee americano . Did I get that right ?|Your order is a short iced coffee americano . Is that right ?|Your order is a short iced coffee americano . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like a soy latte .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a grande soy latte . Is that right ?|So that would be a grande soy latte . Did I get that right ?|Your order is a grande soy latte . Is that right ?|Your order is a grande soy latte . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a peach iced tea , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall peach iced tea . Is that right ?|So that would be a tall peach iced tea . Did I get that right ?|Your order is a tall peach iced tea . Is that right ?|Your order is a tall peach iced tea . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced pumpkin spice chai latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short iced pumpkin spice chai latte . Is that right ?|So that would be a short iced pumpkin spice chai latte . Did I get that right ?|Your order is a short iced pumpkin spice chai latte . Is that right ?|Your order is a short iced pumpkin spice chai latte . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a cinnamon latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a short cinnamon latte . Is that right ?|So that would be a short cinnamon latte . Did I get that right ?|Your order is a short cinnamon latte . Is that right ?|Your order is a short cinnamon latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A raspberry lemonade , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a short raspberry lemonade . Is that right ?|So that would be a short raspberry lemonade . Did I get that right ?|Your order is a short raspberry lemonade . Is that right ?|Your order is a short raspberry lemonade . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like a chai tea latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a short chai tea latte . Is that right ?|So that would be a short chai tea latte . Did I get that right ?|Your order is a short chai tea latte . Is that right ?|Your order is a short chai tea latte . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I want an iced latte macchiato , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short iced latte macchiato . Is that right ?|So that would be a short iced latte macchiato . Did I get that right ?|Your order is a short iced latte macchiato . Is that right ?|Your order is a short iced latte macchiato . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a raspberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a grande raspberry lemonade . Is that right ?|So that would be a grande raspberry lemonade . Did I get that right ?|Your order is a grande raspberry lemonade . Is that right ?|Your order is a grande raspberry lemonade . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced salted caramel mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a short iced salted caramel mocha . Is that right ?|So that would be a short iced salted caramel mocha . Did I get that right ?|Your order is a short iced salted caramel mocha . Is that right ?|Your order is a short iced salted caramel mocha . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a pumpkin spice latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a grande pumpkin spice latte . Is that right ?|So that would be a grande pumpkin spice latte . Did I get that right ?|Your order is a grande pumpkin spice latte . Is that right ?|Your order is a grande pumpkin spice latte . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get a bottle of water ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a grande bottle of water . Is that right ?|So that would be a grande bottle of water . Did I get that right ?|Your order is a grande bottle of water . Is that right ?|Your order is a grande bottle of water . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced caramel macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a grande iced caramel macchiato . Is that right ?|So that would be a grande iced caramel macchiato . Did I get that right ?|Your order is a grande iced caramel macchiato . Is that right ?|Your order is a grande iced caramel macchiato . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A bottle of water , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a tall bottle of water . Is that right ?|So that would be a tall bottle of water . Did I get that right ?|Your order is a tall bottle of water . Is that right ?|Your order is a tall bottle of water . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get an iced latte macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a tall iced latte macchiato . Is that right ?|So that would be a tall iced latte macchiato . Did I get that right ?|Your order is a tall iced latte macchiato . Is that right ?|Your order is a tall iced latte macchiato . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a pumpkin spice latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a short pumpkin spice latte . Is that right ?|So that would be a short pumpkin spice latte . Did I get that right ?|Your order is a short pumpkin spice latte . Is that right ?|Your order is a short pumpkin spice latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like an iced cinnamon dolce latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a grande iced cinnamon dolce latte . Is that right ?|So that would be a grande iced cinnamon dolce latte . Did I get that right ?|Your order is a grande iced cinnamon dolce latte . Is that right ?|Your order is a grande iced cinnamon dolce latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get a chai tea latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a short chai tea latte . Is that right ?|So that would be a short chai tea latte . Did I get that right ?|Your order is a short chai tea latte . Is that right ?|Your order is a short chai tea latte . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A soy latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a grande soy latte . Is that right ?|So that would be a grande soy latte . Did I get that right ?|Your order is a grande soy latte . Is that right ?|Your order is a grande soy latte . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I want a salted caramel mocha .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a tall salted caramel mocha . Is that right ?|So that would be a tall salted caramel mocha . Did I get that right ?|Your order is a tall salted caramel mocha . Is that right ?|Your order is a tall salted caramel mocha . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have an iced pumpkin spice chai latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a grande iced pumpkin spice chai latte . Is that right ?|So that would be a grande iced pumpkin spice chai latte . Did I get that right ?|Your order is a grande iced pumpkin spice chai latte . Is that right ?|Your order is a grande iced pumpkin spice chai latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like a bottle of water .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a tall bottle of water . Is that right ?|So that would be a tall bottle of water . Did I get that right ?|Your order is a tall bottle of water . Is that right ?|Your order is a tall bottle of water . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get a cinnamon latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a grande cinnamon latte . Is that right ?|So that would be a grande cinnamon latte . Did I get that right ?|Your order is a grande cinnamon latte . Is that right ?|Your order is a grande cinnamon latte . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a peach iced tea ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a tall peach iced tea . Is that right ?|So that would be a tall peach iced tea . Did I get that right ?|Your order is a tall peach iced tea . Is that right ?|Your order is a tall peach iced tea . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced coffee mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a short iced coffee mocha . Is that right ?|So that would be a short iced coffee mocha . Did I get that right ?|Your order is a short iced coffee mocha . Is that right ?|Your order is a short iced coffee mocha . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I have a strawberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a short strawberry lemonade . Is that right ?|So that would be a short strawberry lemonade . Did I get that right ?|Your order is a short strawberry lemonade . Is that right ?|Your order is a short strawberry lemonade . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get a lemonade , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a short lemonade . Is that right ?|So that would be a short lemonade . Did I get that right ?|Your order is a short lemonade . Is that right ?|Your order is a short lemonade . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced caramel macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a tall iced caramel macchiato . Is that right ?|So that would be a tall iced caramel macchiato . Did I get that right ?|Your order is a tall iced caramel macchiato . Is that right ?|Your order is a tall iced caramel macchiato . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a peach iced tea ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thank you .	So that would be a short peach iced tea . Is that right ?|So that would be a short peach iced tea . Did I get that right ?|Your order is a short peach iced tea . Is that right ?|Your order is a short peach iced tea . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I want an iced pumpkin spice latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short iced pumpkin spice latte . Is that right ?|So that would be a short iced pumpkin spice latte . Did I get that right ?|Your order is a short iced pumpkin spice latte . Is that right ?|Your order is a short iced pumpkin spice latte . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a bottle of water ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short bottle of water . Is that right ?|So that would be a short bottle of water . Did I get that right ?|Your order is a short bottle of water . Is that right ?|Your order is a short bottle of water . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall iced salted caramel mocha . Is that right ?|So that would be a tall iced salted caramel mocha . Did I get that right ?|Your order is a tall iced salted caramel mocha . Is that right ?|Your order is a tall iced salted caramel mocha . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 An iced pumpkin spice chai latte .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short iced pumpkin spice chai latte . Is that right ?|So that would be a short iced pumpkin spice chai latte . Did I get that right ?|Your order is a short iced pumpkin spice chai latte . Is that right ?|Your order is a short iced pumpkin spice chai latte . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have an iced caramel macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a short iced caramel macchiato . Is that right ?|So that would be a short iced caramel macchiato . Did I get that right ?|Your order is a short iced caramel macchiato . Is that right ?|Your order is a short iced caramel macchiato . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A raspberry lemonade .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No .	So that would be a tall raspberry lemonade . Is that right ?|So that would be a tall raspberry lemonade . Did I get that right ?|Your order is a tall raspberry lemonade . Is that right ?|Your order is a tall raspberry lemonade . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have a chai tea latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a tall chai tea latte . Is that right ?|So that would be a tall chai tea latte . Did I get that right ?|Your order is a tall chai tea latte . Is that right ?|Your order is a tall chai tea latte . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a soy latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a grande soy latte . Is that right ?|So that would be a grande soy latte . Did I get that right ?|Your order is a grande soy latte . Is that right ?|Your order is a grande soy latte . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A lemonade .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a grande lemonade . Is that right ?|So that would be a grande lemonade . Did I get that right ?|Your order is a grande lemonade . Is that right ?|Your order is a grande lemonade . Did I get that right ?
