1:Troian Bellisario-[['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', '']]
43:Justin Chambers-[['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', '']]
44:Sarah Wayne Callies-[['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', '']]
45:Alison Brie-[['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake'], ['a green tea', 'medium', 'a carrot cake']]
46:James Spader-[['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake'], ['a latte', 'medium', 'a carrot cake']]
47:John Slattery-[['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', '']]
48:Robin Tunney-[['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', '']]
49:AnnaLynne McCord-[['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie'], ['an espresso macchiato', 'small', 'a chocolate chip cookie']]
50:Jim Caviezel-[['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap'], ['an americano', 'small', 'a veggie tortilla wrap']]
51:Andrew Lincoln-[['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
52:Joel McHale-[['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal']]
53:Julie Bowen-[['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', '']]
54:Mayim Bialik-[['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant'], ['a mocha', 'small', 'a croissant']]
55:Matthew McConaughey-[['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel'], ['a green tea', 'large', 'a plain bagel']]
56:Jeffrey Donovan-[['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', '']]
57:Patrick Dempsey-[['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie'], ['a noisette', 'small', 'a chocolate chip cookie']]
58:Aaron Paul-[['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake'], ['an Earl Grey', 'large', 'a carrot cake']]
59:Cate Blanchett-[['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'medium', 'a chocolate caramel shortbread']]
60:Laura Linney-[['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', '']]
61:Noah Wyle-[['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', ''], ['an espresso', 'large', '']]
62:Michael Emerson-[['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal'], ['a latte', 'large', 'a classic oatmeal']]
63:David Schwimmer-[['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant'], ['a caramel macchiato', 'large', 'an almond croissant']]
64:Zac Efron-[['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', '']]
65:Ryan Gosling-[['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal']]
66:Stephen Amell-[['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap']]
67:Angelina Jolie-[['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut'], ['a noisette', 'small', 'a doughnut']]
68:Alyson Hannigan-[['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut'], ['an espresso', 'small', 'a doughnut']]
69:Kristen Stewart-[['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', ''], ['an americano', 'large', '']]
70:Kodi Smit-McPhee-[['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat'], ['an espresso con panna', 'small', 'a pain au chocolat']]
71:Keri Russell-[['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread'], ['an espresso', 'medium', 'a slice of banana bread']]
72:Damian Lewis-[['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
73:Jonny Lee Miller-[['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', '']]
74:Ariana Grande-[['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap'], ['a cappuccino', 'large', 'a veggie tortilla wrap']]
75:Rachel Bilson-[['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
76:Emily Deschanel-[['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel']]
77:Miles Teller-[['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', '']]
78:Chloe Grace Moretz-[['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie'], ['a cordusio', 'small', 'a chocolate chip cookie']]
79:Matt Smith-[['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin'], ['an Earl Grey', 'small', 'a blueberry muffin']]
80:Zoe Saldana-[['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin']]
81:Charlize Theron-[['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', '']]
82:Norman Reedus-[['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat'], ['an Earl Grey', 'large', 'a pain au chocolat']]
